year,net_income_musd
2009,1487.0
2010,1907.0
2011,2133.0
2012,2211.0
2013,2472.0
2014,2693.0
2015,3273.0
2016,3760.0
2017,4240.0
2018,1933.0
2019,4029.0
2020,2539.0
2021,5727.0
2022,6046.0
2023,5070.0
2024,5700.0
2025,3219.0
